,Name,Entry No.,TimeStamp,Total Time,Status
105,bMVutBZhxl,1172WYN2591,"( 11:19:57 AM,  11:21:25 AM, 0:01:28)( 11:24:00 AM,  12:25:03 PM, 1:01:03)",0 days 01:02:31.000000000,Present
106,bYxqWpyHSQ,5293WSC6756,"( 10:56:14 AM,  10:59:06 AM, 0:02:52)( 10:59:07 AM,  11:59:05 AM, 0:59:58)",0 days 01:02:50.000000000,Present
107,bcDOMuiaxZ,,"( 10:59:53 AM,  12:25:04 PM, 1:25:11)",0 days 01:25:11.000000000,Present
108,bevVlWQxda,7486XCM8170,"( 11:02:49 AM,  11:03:24 AM, 0:00:35)( 11:03:24 AM,  12:24:58 PM, 1:21:34)",0 days 01:22:09.000000000,Present
109,bseIqsvTSy,2260REG4484,"( 10:57:56 AM,  10:59:07 AM, 0:01:11)( 10:59:07 AM,  12:24:36 PM, 1:25:29)( 11:34:46 AM,  12:27:15 PM, 0:52:29)",0 days 02:19:09.000000000,Present
110,cPeVuoqrCm,4638JGF0382,"( 10:57:39 AM,  10:59:07 AM, 0:01:28)( 10:59:07 AM,  12:24:36 PM, 1:25:29)",0 days 01:26:57.000000000,Present
111,cYcaStAIlM,1226OEN1098,"( 11:21:29 AM,  12:24:58 PM, 1:03:29)",0 days 01:03:29.000000000,Present
112,cjMhQlVtvn,4393XUO5311,"( 10:59:25 AM,  12:17:44 PM, 1:18:19)",0 days 01:18:19.000000000,Present
113,ckanBUtlde,,"( 11:02:34 AM,  11:34:36 AM, 0:32:02)( 11:35:02 AM,  12:25:04 PM, 0:50:02)",0 days 01:22:04.000000000,Present
114,dBegJDMNBp,8784PRZ5684,"( 11:26:42 AM,  12:25:05 PM, 0:58:23)",0 days 00:58:23.000000000,Present
115,dDqKrGdTXp,5963TPT0266,"( 11:00:44 AM,  11:01:14 AM, 0:00:30)( 11:01:14 AM,  11:21:55 AM, 0:20:41)",0 days 00:21:11.000000000,Absent
116,eDCrvEorED,8171YIR4620,"( 11:04:26 AM,  11:04:35 AM, 0:00:09)",0 days 00:00:09.000000000,Absent
117,eJzgrjWRRj,8573RER0783,"( 11:02:49 AM,  12:24:58 PM, 1:22:09)",0 days 01:22:09.000000000,Present
118,eXbrxbpOlp,9077YVB1573,"( 11:05:04 AM,  11:05:46 AM, 0:00:42)( 11:05:46 AM,  12:30:00 PM, 1:24:14)",0 days 01:24:56.000000000,Present
119,ehdtdniZKp,0685JGB9978,"( 11:20:41 AM,  11:23:17 AM, 0:02:36)",0 days 00:02:36.000000000,Absent
120,fqWAYtnDcy,6580TCC7412,"( 10:59:13 AM,  10:59:21 AM, 0:00:08)",0 days 00:00:08.000000000,Absent
121,fuXbmQESKL,5586BZU6628,"( 11:24:21 AM,  12:24:59 PM, 1:00:38)",0 days 01:00:38.000000000,Present
